geography_name,total_population,median_age,median_household_income,poverty_universe,population_below_poverty,civilian_labor_force,unemployed_population,occupied_housing_units,owner_occupied_units,renter_occupied_units,median_gross_rent,median_home_value,state,county,tract
Census Tract 211.35; Shelby County; Tennessee,5264,41.2,78587,5243,254,3344,9,2617,1210,1407,1496,216900,47,157,021135
Census Tract 211.36; Shelby County; Tennessee,5547,43.4,112250,5547,162,3340,198,2026,1595,431,2572,364000,47,157,021136
Census Tract 211.38; Shelby County; Tennessee,4526,36.6,111489,4526,230,2485,148,1528,894,634,1747,344300,47,157,021138
Census Tract 211.39; Shelby County; Tennessee,4369,48.8,159886,4220,66,2259,105,1550,1431,119,2205,422700,47,157,021139
Census Tract 211.40; Shelby County; Tennessee,5248,33.2,84229,5184,247,2968,34,2062,1132,930,1640,301900,47,157,021140
Census Tract 211.41; Shelby County; Tennessee,7741,41.4,89205,7741,448,4997,450,2847,1821,1026,1796,263700,47,157,021141
Census Tract 211.42; Shelby County; Tennessee,2994,42.4,79934,2994,102,1953,119,1419,856,563,1396,279800,47,157,021142
Census Tract 211.43; Shelby County; Tennessee,5900,36.3,85617,5900,145,2910,186,1892,1241,651,2046,248700,47,157,021143
Census Tract 211.44; Shelby County; Tennessee,3136,41.1,101558,3136,277,1935,21,1430,707,723,1511,279800,47,157,021144
Census Tract 212; Shelby County; Tennessee,1444,40.1,-666666666,0,0,0,0,0,0,0,-666666666,-666666666,47,157,021200
Census Tract 213.11; Shelby County; Tennessee,4409,55.6,160278,4353,302,2344,53,2220,1611,609,1757,746000,47,157,021311
Census Tract 213.12; Shelby County; Tennessee,1753,38.8,66650,1753,163,1247,12,1093,380,713,1425,407500,47,157,021312
Census Tract 213.20; Shelby County; Tennessee,5912,38.5,106705,5740,667,3198,20,2244,1428,816,1236,425400,47,157,021320
Census Tract 213.31; Shelby County; Tennessee,3374,43.0,121667,3260,226,1956,53,1266,1150,116,1991,265600,47,157,021331
Census Tract 213.33; Shelby County; Tennessee,4419,41.3,89484,4419,75,2712,220,1741,1186,555,1383,239100,47,157,021333
Census Tract 213.34; Shelby County; Tennessee,3584,37.1,61543,3442,428,1929,211,1666,546,1120,1262,234200,47,157,021334
Census Tract 213.41; Shelby County; Tennessee,6151,44.4,155625,5922,214,2535,130,2143,1702,441,-666666666,536300,47,157,021341
Census Tract 213.51; Shelby County; Tennessee,4420,51.3,101344,4410,83,2176,140,2191,1387,804,1827,414700,47,157,021351
Census Tract 213.52; Shelby County; Tennessee,7245,44.2,146763,7245,96,3370,101,2626,2508,118,2705,468500,47,157,021352
Census Tract 213.54; Shelby County; Tennessee,6109,34.6,87594,6109,404,4219,178,3213,834,2379,1458,332500,47,157,021354
Census Tract 213.55; Shelby County; Tennessee,5994,38.1,144415,5913,156,3216,235,2232,1429,803,1675,549800,47,157,021355
Census Tract 213.56; Shelby County; Tennessee,3439,51.4,236189,3439,0,1513,31,1245,1245,0,-666666666,752500,47,157,021356
Census Tract 213.57; Shelby County; Tennessee,5837,43.8,219722,5837,189,2649,18,2066,2019,47,-666666666,640400,47,157,021357
Census Tract 214.10; Shelby County; Tennessee,3293,44.7,135333,3293,104,1472,16,1344,1161,183,2558,386200,47,157,021410
Census Tract 214.20; Shelby County; Tennessee,3180,45.1,140417,3180,125,1603,8,1279,1144,135,1801,423400,47,157,021420
Census Tract 214.30; Shelby County; Tennessee,3963,44.5,137697,3963,130,2183,52,1748,1541,207,1710,383600,47,157,021430
Census Tract 215.30; Shelby County; Tennessee,5439,45.2,188750,5439,154,2704,74,1994,1739,255,-666666666,586500,47,157,021530
Census Tract 215.41; Shelby County; Tennessee,7983,41.0,166356,7949,65,3903,149,2473,2396,77,2582,518400,47,157,021541
Census Tract 215.42; Shelby County; Tennessee,5812,41.4,217500,5812,28,2876,84,1938,1670,268,1614,654700,47,157,021542
Census Tract 215.43; Shelby County; Tennessee,3648,41.3,173135,3648,0,2053,66,1148,1120,28,-666666666,610100,47,157,021543
Census Tract 215.44; Shelby County; Tennessee,3572,31.0,110750,3554,77,1850,138,1491,413,1078,1752,398000,47,157,021544
Census Tract 215.45; Shelby County; Tennessee,3312,49.6,112983,3245,102,1677,39,1563,1134,429,1681,542400,47,157,021545
Census Tract 215.46; Shelby County; Tennessee,4164,35.3,121462,4125,457,2349,39,1782,516,1266,1559,602300,47,157,021546
Census Tract 215.47; Shelby County; Tennessee,7030,30.8,83443,7030,1199,3757,251,2368,1116,1252,1520,334500,47,157,021547
Census Tract 215.48; Shelby County; Tennessee,3467,34.6,77043,3467,154,1951,68,1485,455,1030,1758,210000,47,157,021548
Census Tract 216.11; Shelby County; Tennessee,4948,43.9,122005,4859,39,2481,0,1869,1628,241,1719,371900,47,157,021611
Census Tract 216.12; Shelby County; Tennessee,5383,38.8,131838,5383,50,2654,196,1725,1549,176,2311,397700,47,157,021612
Census Tract 216.13; Shelby County; Tennessee,4712,38.5,132875,4712,127,2392,32,1599,1513,86,2705,419800,47,157,021613
Census Tract 216.20; Shelby County; Tennessee,3467,33.8,64674,3459,848,1655,240,1132,516,616,1132,322400,47,157,021620
Census Tract 217.10; Shelby County; Tennessee,1782,31.2,27050,1782,628,1023,33,999,115,884,1135,136500,47,157,021710
Census Tract 217.21; Shelby County; Tennessee,4708,26.8,49773,4708,950,2741,133,1922,197,1725,1224,157700,47,157,021721
Census Tract 217.24; Shelby County; Tennessee,2442,33.0,43694,2442,434,1366,70,955,319,636,1172,151500,47,157,021724
Census Tract 217.25; Shelby County; Tennessee,3803,26.9,43049,3803,793,2478,317,2145,84,2061,1099,112000,47,157,021725
Census Tract 217.31; Shelby County; Tennessee,2813,25.6,46875,2813,769,1198,211,904,325,579,1349,72900,47,157,021731
Census Tract 217.44; Shelby County; Tennessee,6401,35.6,85264,6343,446,3266,466,2064,1413,651,1703,207400,47,157,021744
Census Tract 217.45; Shelby County; Tennessee,8927,39.4,110802,8906,719,5556,592,3014,2497,517,2077,218600,47,157,021745
Census Tract 217.46; Shelby County; Tennessee,4178,33.7,54853,4148,795,2301,206,1690,731,959,1330,147700,47,157,021746
Census Tract 217.47; Shelby County; Tennessee,4654,27.7,58568,4654,279,2181,106,1352,939,413,1515,154600,47,157,021747
Census Tract 217.51; Shelby County; Tennessee,6494,38.1,101119,6494,894,3691,435,2367,1589,778,2048,261800,47,157,021751
Census Tract 217.52; Shelby County; Tennessee,5529,33.3,60202,5472,1383,3007,422,2113,1051,1062,1150,284700,47,157,021752
Census Tract 217.53; Shelby County; Tennessee,2783,34.8,72625,2783,307,1536,72,1097,758,339,1762,183300,47,157,021753
Census Tract 217.54; Shelby County; Tennessee,4857,34.1,69257,4857,1050,2603,450,1792,792,1000,1628,170700,47,157,021754
Census Tract 217.55; Shelby County; Tennessee,1585,28.6,42083,1585,315,891,13,887,7,880,1048,-666666666,47,157,021755
